id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,cluster
1xsYj84j7hUDDnTTerGWlH,0.392,0.476,-7.583,0.0249,0.397,0.000163,0.309,0.234,78.031,267597,9
4KfSdst7rW39C0sfhArdrz,0.548,0.691,-13.553,0.0369,0.015,0.106,0.144,0.667,137.145,261933,4
5UWwZ5lm5PKu6eKsHAGxOk,0.413,0.881,-5.541,0.0367,5.99e-05,0.000308,0.0805,0.364,158.066,250547,4
37ZJ0p5Jm13JPevGcx4SkF,0.532,0.887,-3.757,0.0335,0.0778,0.000214,0.294,0.795,122.511,249293,5
70YvYr2hGlS01bKRIho1HM,0.545,0.64,-9.937,0.224,0.00249,0.0304,0.196,0.606,80.544,230480,8
2EC9IJj7g0mN1Q5VrZkiYY,0.635,0.686,-15.648,0.053,0.209,0.0176,0.282,0.464,125.988,274747,9
3dPQuX8Gs42Y7b454ybpMR,0.743,0.446,-7.807,0.0683,0.0039,0.118,0.337,0.278,123.596,232107,9
254bXAqt3zP6P50BdQvEsq,0.73,0.487,-10.991,0.0303,0.258,0.01,0.0852,0.731,114.965,226653,1
57bgtoPSgt236HzfBOd8kj,0.502,0.89,-5.175,0.0364,0.000147,0.0117,0.217,0.259,133.52,292880,4
0PdM2a6oIjqepoEfcJo0RO,0.267,0.953,-4.899,0.096,0.00211,0.0,0.283,0.568,84.989,267307,4
40riOy7x9W7GXjyGp4pjAv,0.579,0.508,-9.484,0.027,0.00574,0.000494,0.0575,0.609,147.125,391376,6
5sFDReWLrZHLFZFjHsjUTS,0.305,0.833,-7.981,0.0398,0.000327,2.36e-05,0.091,0.586,100.675,206773,4
0hCB0YR03f6AmQaHbwWDe8,0.412,0.902,-11.6,0.405,0.0484,0.131,0.405,0.422,89.74,333893,8
70LcF31zb1H0PyJoS1Sx1r,0.515,0.43,-9.935,0.0372,0.0097,0.000133,0.129,0.104,91.844,238640,9
05RgAMGypEvqhNs5hPCbMS,0.526,0.978,-5.436,0.108,0.00122,4.75e-05,0.0744,0.451,141.167,210227,4
2RaA6kIcvomt77qlIgGhCT,0.362,0.961,-5.664,0.0857,0.024,9.35e-06,0.159,0.491,164.019,153840,4
57JVGBtBLCfHw2muk5416J,0.933,0.528,-6.472,0.162,0.112,0.329,0.163,0.756,109.975,214653,1
6hTcuIQa0sxrrByu9wTD7s,0.27,0.944,-4.199,0.0975,0.00501,2.05e-05,0.116,0.606,146.347,269920,4
3VqHuw0wFlIHcIPWkhIbdQ,0.566,0.834,-8.412,0.0298,0.00277,0.008,0.0625,0.621,123.296,331560,4
6cr6UDpkjEaMQ80OjWqEBQ,0.73,0.868,-7.325,0.0288,0.0632,0.0661,0.318,0.923,148.217,350400,5
6QewNVIDKdSl8Y3ycuHIei,0.394,0.944,-6.506,0.0761,0.00178,4.54e-06,0.298,0.265,105.338,292581,4
1CM1wOqD2AIjt2MWd31LV2,0.683,0.63,-8.844,0.0296,0.363,0.000873,0.314,0.481,102.457,261440,9
549Go7a66CX6k523uK9kUv,0.599,0.931,-4.653,0.0735,0.0302,6.69e-05,0.392,0.536,140.123,270427,4
